EX;QU;AC;SP;SU;AT;CT;BT;VT;BV;OV;CP;ACcd;SPcd;SUcd;ATcd;CTcd;BTcd;VTcd;BVcd;OVcd;CPcd
206;7;4;0,75;7,5;0;1;1;0;0;2;2;2;1;2;1;2;2;1;1;2;2
207;7;1,5;7;3,75;0;2;0;0;0;2;4;1;2;1;1;3;1;1;1;2;3
208;7;3;10;8;0;3;1;0;2;9;0;2;3;2;1;3;2;1;2;3;1
209;7;8,7;11;10;0;4;1;0;0;0;1;3;3;3;1;3;2;1;1;1;2
210;7;2,5;6;7;0;2;0;0;0;0;3;1;2;2;1;3;1;1;1;1;2
211;8;4;10;8,5;0;0;1;0;0;3;1;2;3;2;1;1;2;1;1;2;2
212;8;1,5;0;4;0;2;0;0;0;0;0;1;1;1;1;3;1;1;1;1;1
213;8;3;0;9,5;0;1;1;0;2;0;6;2;1;3;1;2;2;1;2;1;3
214;8;4;4;8;0;1;1;0;0;1;3;2;1;2;1;2;2;1;1;2;2
215;8;5,5;13;13,5;0;3;2;0;2;10;4;3;3;3;1;3;3;1;2;3;3
216;8;4;8;5,25;0;1;1;0;0;1;3;2;2;1;1;2;2;1;1;2;2
217;8;1,5;9,5;5;0;1;1;0;0;4;0;1;3;1;1;2;2;1;1;3;1
218;8;4,5;8,5;7,75;0;1;1;0;5;17;5;2;2;2;1;2;2;1;2;3;3
219;8;2,2;4;5,5;0;0;0;0;0;2;1;1;1;1;1;1;1;1;1;2;2
220;8;5,7;3;8,75;0;1;1;0;0;2;5;3;1;2;1;2;2;1;1;2;3
221;8;5;13,5;16;0;2;1;0;2;2;9;3;3;3;1;3;2;1;2;2;3
222;6;5;6;8;0;3;1;0;0;1;6;3;2;2;1;3;2;1;1;2;3
223;6;1,7;4;2;0;0;0;0;0;2;0;1;1;1;1;1;1;1;1;2;1
224;6;1,5;2,5;3,75;0;0;1;0;0;0;1;1;1;1;1;1;2;1;1;1;2
225;6;6,5;10;11;0;1;0;0;0;1;3;3;3;3;1;2;1;1;1;2;2
226;6;4,5;9,25;6,5;0;0;1;0;0;0;1;2;3;2;1;1;2;1;1;1;2
227;6;5,5;0;12;0;2;1;0;25;5;0;3;1;3;1;3;2;1;2;3;1
228;6;4,5;12,5;8,25;0;3;0;0;0;10;1;2;3;2;1;3;1;1;1;3;2
